image_id,filepath,label,source,generator_name,generator_family,width,height,format,collection_date,split,notes,page_title,description_url,uploader,license_short_name,category_seed
89274662,data/raw/real/wikimedia/wikimedia_89274662.jpg,real,wikimedia_commons,,,4342,1995,jpg,2026-03-23,,,"File:""Everything is Going to be Alright"" artwork, Christchurch Art Gallery, Christchurch, New Zealand.jpg","https://commons.wikimedia.org/wiki/File:%22Everything_is_Going_to_be_Alright%22_artwork,_Christchurch_Art_Gallery,_Christchurch,_New_Zealand.jpg",Podzemnik,CC BY-SA 4.0,Category:Featured pictures on Wikimedia Commons
140637886,data/raw/real/wikimedia/wikimedia_140637886.jpg,real,wikimedia_commons,,,4912,3264,jpg,2026-03-23,,,"File:""Horas de Chumbo"", by Rui Chafes, Parque das Nações, Lisbon, Portugal julesvernex2-2.jpg","https://commons.wikimedia.org/wiki/File:%22Horas_de_Chumbo%22,_by_Rui_Chafes,_Parque_das_Na%C3%A7%C3%B5es,_Lisbon,_Portugal_julesvernex2-2.jpg",Julesvernex2,CC BY-SA 4.0,Category:Featured pictures on Wikimedia Commons
17041108,data/raw/real/wikimedia/wikimedia_17041108.jpg,real,wikimedia_commons,,,3000,2416,jpg,2026-03-23,,,"File:""Photograph made from B-17 Flying Fortress of the 8th AAF Bomber Command on 31 Dec. when they attacked the vital CAM bal - NARA - 535712.jpg",https://commons.wikimedia.org/wiki/File:%22Photograph_made_from_B-17_Flying_Fortress_of_the_8th_AAF_Bomber_Command_on_31_Dec._when_they_attacked_the_vital_CAM_bal_-_NARA_-_535712.jpg,Jeroliv,Public domain,Category:Featured pictures on Wikimedia Commons
150142334,data/raw/real/wikimedia/wikimedia_150142334.jpg,real,wikimedia_commons,,,7616,5504,jpg,2026-03-23,,,File:(Castres) Notre-Dame-de-la-Platé - L'orgue de tribune.jpg,https://commons.wikimedia.org/wiki/File:(Castres)_Notre-Dame-de-la-Plat%C3%A9_-_L%27orgue_de_tribune.jpg,Archaeodontosaurus,CC BY-SA 4.0,Category:Featured pictures on Wikimedia Commons
180249426,data/raw/real/wikimedia/wikimedia_180249426.jpg,real,wikimedia_commons,,,6077,3307,jpg,2026-03-23,,,File:(MHNT) Aiolopus strepens female.jpg,https://commons.wikimedia.org/wiki/File:(MHNT)_Aiolopus_strepens_female.jpg,Archaeodontosaurus,CC BY-SA 4.0,Category:Featured pictures on Wikimedia Commons
101350129,data/raw/real/wikimedia/wikimedia_101350129.jpg,real,wikimedia_commons,,,8229,7413,jpg,2026-03-23,,,File:(Orgueil) - L'Église Saint-Ferréol - Voute du choeur.jpg,https://commons.wikimedia.org/wiki/File:(Orgueil)_-_L%27%C3%89glise_Saint-Ferr%C3%A9ol_-_Voute_du_choeur.jpg,Archaeodontosaurus,CC BY-SA 4.0,Category:Featured pictures on Wikimedia Commons
123918424,data/raw/real/wikimedia/wikimedia_123918424.jpg,real,wikimedia_commons,,,7566,4665,jpg,2026-03-23,,,"File:(Toulouse) Enyo gorgon MHNT CUT 2010 0 527 - Maripasoula, Guyane France - female dorsal.jpg","https://commons.wikimedia.org/wiki/File:(Toulouse)_Enyo_gorgon_MHNT_CUT_2010_0_527_-_Maripasoula,_Guyane_France_-_female_dorsal.jpg",Archaeodontosaurus,CC BY-SA 4.0,Category:Featured pictures on Wikimedia Commons
123918833,data/raw/real/wikimedia/wikimedia_123918833.jpg,real,wikimedia_commons,,,7528,4691,jpg,2026-03-23,,,"File:(Toulouse) Enyo gorgon MHNT CUT 2010 0 527 - Maripasoula, Guyane France - female ventral.jpg","https://commons.wikimedia.org/wiki/File:(Toulouse)_Enyo_gorgon_MHNT_CUT_2010_0_527_-_Maripasoula,_Guyane_France_-_female_ventral.jpg",Archaeodontosaurus,CC BY-SA 4.0,Category:Featured pictures on Wikimedia Commons
100622105,data/raw/real/wikimedia/wikimedia_100622105.jpg,real,wikimedia_commons,,,8670,9552,jpg,2026-03-23,,,File:(Venice) Bocca di Leone in the Doge's Palace.jpg,https://commons.wikimedia.org/wiki/File:(Venice)_Bocca_di_Leone_in_the_Doge%27s_Palace.jpg,Archaeodontosaurus,CC BY-SA 4.0,Category:Featured pictures on Wikimedia Commons
96559561,data/raw/real/wikimedia/wikimedia_96559561.jpg,real,wikimedia_commons,,,7952,5304,jpg,2026-03-23,,,File:001 Chateau de Chillon and Dents du Midi Photo by Giles Laurent.jpg,https://commons.wikimedia.org/wiki/File:001_Chateau_de_Chillon_and_Dents_du_Midi_Photo_by_Giles_Laurent.jpg,Giles Laurent,CC BY-SA 4.0,Category:Featured pictures on Wikimedia Commons
